"","Name","Organisation","Country","Pays","Pais","URL","Description","Location","Latitude","Longitude","has_issue","issue_type","code_en","code_fr","country_slug","code_es","Land"
"94","Berlin Open Data","Berliner Senatsverwaltung Für Wirtschaft, Technologie Und Frauen","Germany","Allemagne","Alemania","http://daten.berlin.de/","Official open data catalog of the Senate of Berlin.","52.5243681651, 13.4105300903","52.52436817","13.41053009","","","Germany - Berlin Open Data","Allemagne - Berlin Open Data","germany","Alemania - Berlin Open Data","Deutschland"
"328","Sachsen Open Data","Germany","Germany","Allemagne","Alemania","http://www.opendata.sachsen.de/","Open Data Project of the region of Saxony","51.0504, 13.7373","51.0504","13.7373","","","Germany - Sachsen Open Data","Allemagne - Sachsen Open Data","germany","Alemania - Sachsen Open Data","Deutschland"
"981","Frankfurt am Main Open Data","Germany","Germany","Allemagne","Alemania","http://www.offenedaten.frankfurt.de/","Frankfurt am Main Open Data","50.1109, 8.6821","50.1109","01/08/6821","","","Germany - Frankfurt am Main Open Data","Allemagne - Frankfurt am Main Open Data","germany","Alemania - Frankfurt am Main Open Data","Deutschland"
"983","Open Data Kerpen","KDVZ Rhein-Erft-Rur","Germany","Allemagne","Alemania","http://offenedaten.kdvz-frechen.de/group/kerpen","","50.87214, 6.6935864","50.87214","6.6935864","FALSE","","Germany - Open Data Kerpen","Allemagne - Open Data Kerpen","germany","Alemania - Open Data Kerpen","Deutschland"
"1152","Bayern Open Data","Germany","Germany","Allemagne","Alemania","https://opendata.bayern.de/;jsessionid=F6AC107A6919C876C3CC45D5770E3A34?0","Open Data Portal of the region Bavaria","48.1351, 11.582","48.1351","01/11/5820","","","Germany - Bayern Open Data","Allemagne - Bayern Open Data","germany","Alemania - Bayern Open Data","Deutschland"
"1263","Hansestadt Rostock Open Data","Germany","Germany","Allemagne","Alemania","http://opendata-hro.de/","","54.08333, 12.13333","54.08333","12.13333","FALSE","","Germany - Hansestadt Rostock Open Data","Allemagne - Hansestadt Rostock Open Data","germany","Alemania - Hansestadt Rostock Open Data","Deutschland"
"1348","Rheinland-Pfalz Open Data","Germany","Germany","Allemagne","Alemania","http://daten.rlp.de/","","49.9929, 8.2473","49.9929","01/08/2473","","","Germany - Rheinland-Pfalz Open Data","Allemagne - Rheinland-Pfalz Open Data","germany","Alemania - Rheinland-Pfalz Open Data","Deutschland"
"1527","Offene Daten Köln","Germany","Germany","Allemagne","Alemania","http://offenedaten-koeln.de/","Cologne Open Data","50.95, 6.9667","50.95","01/06/9667","","","Germany - Offene Daten Köln","Allemagne - Offene Daten Köln","germany","Alemania - Offene Daten Köln","Deutschland"
"1533","mCloud - Bundesministerium für Verkehr und digitale Infrastruktur","Germany","Germany","Allemagne","Alemania","http://mcloud.de/","Die mCLOUD ist eine Rechercheplattform zu offenen Daten aus dem Bereich Mobilität und angrenzender Themen. Das BMVI stellt mit der mCLOUD einen zentralen Zugangspunkt zu allen offenen Daten seines Geschäftsbereiches zur Verfügung und öffnet das Portal auch für private Anbieter aus dem Mobilitätsbereich, um ihre Daten dort anzubieten.","52.5243681651, 13.4105300903","52.52436817","13.41053009","","","Germany - mCloud - Bundesministerium für Verkehr und digitale Infrastruktur","Allemagne - mCloud - Bundesministerium für Verkehr und digitale Infrastruktur","germany","Alemania - mCloud - Bundesministerium für Verkehr und digitale Infrastruktur","Deutschland"
"1902","German Government Open Data","Germany","Germany","Allemagne","Alemania","http://govdata.de/","National Open Data Portal","52.5243681651, 13.4105300903","52.52436817","13.41053009","","","Germany - German Government Open Data","Allemagne - German Government Open Data","germany","Alemania - German Government Open Data","Deutschland"
"1976","Open Data Portal Munich","City of Munich","Germany","Allemagne","Alemania","https://www.opengov-muenchen.de/","Open Data Munich","48.1351, 11.582","48.1351","01/11/5820","","","Germany - Open Data Portal Munich","Allemagne - Open Data Portal Munich","germany","Alemania - Open Data Portal Munich","Deutschland"
"1985","OpenNRW - Open Data Nordrhein-Westfalen","Germany","Germany","Allemagne","Alemania","https://open.nrw/de","Open Data Portal of the region North Rhine-Westphalia","50.95, 6.9667","50.95","01/06/9667","","","Germany - OpenNRW - Open Data Nordrhein-Westfalen","Allemagne - OpenNRW - Open Data Nordrhein-Westfalen","germany","Alemania - OpenNRW - Open Data Nordrhein-Westfalen","Deutschland"
